punto_muestreo,name,longitude,latitude,altitude,utm_x,utm_y
28079035,Plaza del Carmen,-3.7031666666666663,40.41920833333333,660,-412234.6276559576,4927048.807101603
28079004,Plaza de España,-3.712197222222223,40.42388333333333,637,-413239.9045019824,4927732.404052108
28079039,Barrio del Pilar,-3.711536111111111,40.478233333333336,676,-413166.30994973576,4935683.16541287
28079008,Escuelas Aguirre,-3.682283333333333,40.42156388888888,672,-409909.9056232247,4927393.239793479
28079038,Cuatro Caminos,-3.7071222222222224,40.44554722222222,699,-412674.9580862065,4930900.803780487
28079011,Ramón y Cajal,-3.677361111111111,40.45146944444445,708,-409361.9663518756,4931767.121806615
28079040,Vallecas,-3.6515277777777775,40.38814722222222,677,-406486.21283971606,4922508.134555313
28079016,Arturo Soria,-3.639213888888889,40.44005555555555,695,-405115.43699892,4930097.536744044
28079017,Villaverde,-3.713302777777778,40.34715,601,-413362.9743834705,4916518.155102889
28079018,Farolillo,-3.731836111111112,40.394783333333336,632,-415426.0956128392,4923478.059340318
28079036,Moratalaz,-3.645283333333333,40.40795555555555,671,-405791.0844638736,4925403.5762739135
28079024,Casa de Campo,-3.747344444444445,40.41935833333333,646,-417152.47538255824,4927070.739955943
28079027,Barajas Pueblo,-3.5800277777777776,40.476925,620,-398526.86924799695,4935491.696173874
28079047,Méndez Álvaro,-3.686825,40.39810277777778,600,-410415.4816439108,4923963.260596932
28079048,Castellana,-3.6903722222222224,40.43989166666666,680,-410810.3566154192,4930073.56569621
28079049,Retiro,-3.682583333333333,40.41444444444444,662,-409943.3014704626,4926352.261331199
28079050,Plaza Castilla,-3.6887444444444446,40.465583333333335,728,-410629.1532220724,4933832.045923545
28079054,Ensanche de Vallecas,-3.612138888888889,40.37301111111111,629,-402101.4617856921,4920296.219082753
28079055,Urbanización Embajada,-3.5805638888888884,40.462363888888895,619,-398586.5488638944,4933360.988826732
28079056,Plaza Elíptica,-3.718761111111111,40.38502777777778,605,-413970.59327071713,4922052.2339077545
28079057,Sanchinarro,-3.660516666666666,40.4942,700,-407486.8513736244,4938020.122559933
28079058,El Pardo,-3.7746166666666663,40.51804722222222,612,-420188.405273137,4941511.551035189
28079059,Juan Carlos I,-3.6090722222222222,40.465250000000005,660,-401760.0820139261,4933783.272786322
28079060,Tres Olivos,-3.689730555555556,40.500547222222224,715,-410738.9266088269,4938949.28660912
