district,date,day_of_week,day,month,year,mean_intensity
Arganzuela,2016-01-01,Friday,1,1,2016,397.1624047157344
Arganzuela,2016-01-02,Saturday,2,1,2016,433.30717437793123
Arganzuela,2016-01-03,Sunday,3,1,2016,401.37601522736196
Arganzuela,2016-01-04,Monday,4,1,2016,531.3906010734008
Arganzuela,2016-01-05,Tuesday,5,1,2016,524.7918986913985
Arganzuela,2016-01-06,Wednesday,6,1,2016,427.05715373923107
Arganzuela,2016-01-07,Thursday,7,1,2016,540.8152864228327
Arganzuela,2016-01-08,Friday,8,1,2016,583.2239620723334
Arganzuela,2016-01-09,Saturday,9,1,2016,504.0498287006123
Arganzuela,2016-01-10,Sunday,10,1,2016,414.79719532266836
Arganzuela,2016-01-11,Monday,11,1,2016,576.8775391732894
Arganzuela,2016-01-12,Tuesday,12,1,2016,667.6620110250942
Arganzuela,2016-01-13,Wednesday,13,1,2016,637.1887454278911
Arganzuela,2016-01-14,Thursday,14,1,2016,653.4399540422162
Arganzuela,2016-01-15,Friday,15,1,2016,681.0158478438555
Arganzuela,2016-01-16,Saturday,16,1,2016,512.4499319773283
Arganzuela,2016-01-17,Sunday,17,1,2016,447.02371324231035
Arganzuela,2016-01-18,Monday,18,1,2016,623.3898509206855
Arganzuela,2016-01-19,Tuesday,19,1,2016,637.9401964175935
Arganzuela,2016-01-20,Wednesday,20,1,2016,656.7291519726386
Arganzuela,2016-01-21,Thursday,21,1,2016,663.3808261231143
Arganzuela,2016-01-22,Friday,22,1,2016,683.5674834445923
Arganzuela,2016-01-23,Saturday,23,1,2016,513.5358906228007
Arganzuela,2016-01-24,Sunday,24,1,2016,473.2439804793505
Arganzuela,2016-01-25,Monday,25,1,2016,663.6808256205667
Arganzuela,2016-01-26,Tuesday,26,1,2016,621.1221523736933
Arganzuela,2016-01-27,Wednesday,27,1,2016,645.6613301719318
Arganzuela,2016-01-28,Thursday,28,1,2016,653.3475110865517
Arganzuela,2016-01-29,Friday,29,1,2016,691.7667285775864
Arganzuela,2016-01-30,Saturday,30,1,2016,513.7616053543202
Arganzuela,2016-01-31,Sunday,31,1,2016,486.9125265320885
