"idelem";"tipo_elem";"cod_cent";"nombre";"st_x";"st_y"
1044;494;"03FT08PM01";"03FT08PM01";438963.314634858;4474734.4416665
3600;494;"PM30901";"PM30901";443729.047369186;4473268.24999887
3705;494;"PM41451";"PM41451";439858.261097366;4471574.21949934
6823;494;"PM41453";"PM41453";439188.095183064;4470895.03379762
7033;495;"01015";"Pº Castellana S-N - Pl. Colon-Hermosilla";441569.555897254;4475502.42536523
3864;495;"02009";"Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente)";443278.122806687;4473978.40115568
4237;495;"14037";"Moratines O-E - Martin Vargas-Embajadores";440515.953264391;4472994.94936248
5597;495;"61090";"Alfonso XIII O-E - Paraguay-Ricardo Calvo";443241.345233115;4479255.4800699
5586;495;"61120";"Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.José Mª Soler";443529.430869472;4479255.34573733
5967;495;"45021";"Pl. Alsacia - Malmoe-Hermanos García Noblejas";447211.606213573;4474435.59451684
5993;495;"45049";"Pl. Alsacia - Fuente Carrantona-Malmoe";447195.526932339;4474459.56198714
6371;495;"59017";"C/. Salvador de Madariaga - Esteban Mora-Verdaguer y García";444384.173429622;4476887.6611661
6375;495;"59021";"Av. Badajoz - Aristóteles-Torrelaguna";444747.109372472;4477347.86053692
6398;495;"64011";"Av. Canillejas a Vicálvaro - Pobladura del Valle-Julia Garcia Boutan";448273.625378504;4475649.97776022
6419;495;"64405";"Av. Canillejas a Vicálvaro a Suecia - Aquitania-Av. Guadalajara";448252.45607866;4474919.65496518
3810;495;"65027";"AV. Daroca 106 O-E - Fco. Largo Caballeroo-Fuente Carranton";446846.191685541;4474386.88330761
5315;495;"86012";"RAFAEL FINAT N-S(GRAL.SALIQUET-AVIACION)";434477.249234805;4469854.10050399
6511;495;"71009";"C/. San Romualdo - Albasanz-Alcalá  ";447288.98841201;4477072.1107764
5061;495;"49035";"OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS)";438065.301302051;4471311.4632127
5119;495;"51020";"LAGUNA S-N(MU?OZ GRANDES-N.SRA.FATIMA)";437123.641835444;4471244.47118359
3771;495;"80006";"POBLADOS E-O(GUARE?A-PADRE PIQUER)";435069.744034187;4471481.07022769
5238;495;"84003";"AV.CARABANCHEL ALTO S-N(M-40-AV.PESETA)";436092.20032378;4468294.8381552
5265;495;"84030";"P.SAN JOSE S-N(PARQUE GARAJONAI-JACOBEO)";435490.121810796;4468700.70981403
5280;495;"85006";"GRAL RICARDOS  O-E";439190.235530835;4472235.57350915
5385;495;"94001";"R. PINTO SO-NE(LAG DALGA-LAG MARQUESADO)";439511.427869559;4465109.03812031
5015;495;"95034";"CARAMUEL S-N(AV.CAPRICHOS-PABLO SARASATE";438180.588428318;4473225.57066985
5107;495;"96053";"PINZON  N-S (TUCAN-OCA)";437291.717112315;4471428.54500442
5162;495;"98031";"CARAB-ARAVACA E-O(SEB.ALVARO-VILLAVICI.)";434447.220509014;4472224.77060489
9933;495;"29019";"RAMIRO MAEZTU E-O(DIRECCISN NORTE)(MORERAS -AV.GREGORIO AMO)";438701.379589277;4477940.08522483
7073;495;"30027";"MARTMN FIERRO S-N(OBISPO TREJO - JUAN HERRERA)";438042.931327835;4476708.97845251
4508;495;"31015";"FRANCOS RODRIGUEZ O-E(PIRINEOS-POLICIA)";439440.08611765;4479106.00714473
4509;495;"31016";"(AFOROS) FRANCOS RODRIGUEZ E-O(COLEGIO PALOMA-DEHESA  VILLA)";439348.876527186;4479149.70730924
5419;495;"43006";"AV.MONFORTE DE LEMOS O-E(PL.ARTEIJO-GINZO DE LIMIA)";440277.828828504;4481371.51698998
5420;495;"43008";"AV.MONFORTE DE LEMOS E-O(FINISTERRE-GINZO DE LIMIA)";440525.619746967;4481442.09052731
5418;495;"43005";"AV.MONFORTE DE LEMOS E-O(PL.ARTEIJO-PL.FONSAGRADA)";440159.363857155;4481353.18287203
7029;495;"01012";" Pº Recoletos  N-S -  (PL. Colon-Bárbara Braganza)";441510.905106017;4475279.77323341
4192;495;"02016";"Dr. Esquerdo N-S - Angel Ganivet-Av. Mediterraneo";443247.618984551;4473494.63091626
3934;495;"05006";"Concha Espina, 39 O-E - Pl. Sagrados Corazone-Serrano";442168.423651791;4478325.89170128
7037;495;"08014";"Goya, 43 E-O - Nuñez de Balboa-Velazquez";442180.948919299;4475378.18714796
5082;495;"08016";"Goya E-O - General Pardiñas-Principe de Vergara";442528.679838465;4475353.05186145
4016;495;"08017";"Jose Ortega y Gasset O-E - Nuñez de Balboa-Castello";442234.239212366;4475941.26259645
4017;495;"08018";"Jose Ortega y Gasset E-O - Nuñez de Balboa-Velazquez";442213.130324691;4475945.10797604
4018;495;"09001";"Lateral M-30 N-S - Salida Puente Ventas-Pl. Toros";444046.807276126;4476161.21434151
4043;495;"09029";"Principe de Vergara S-N - Jorge Juan-Goya";442406.416065004;4475220.83314491
7041;495;"13025";"Pº del Prado N-S - Zorrilla-Plaza de las Cortes";441211.322592818;4474510.22480966
4400;495;"18009";"Carranza O-E - San Bernardo -Fuencarral";440343.386653338;4475858.9526259
4387;495;"18010";"Conde Duque, 13 S-N - Sta Cruz de Marcenado-Alberto Aguilera";439936.781169851;4475825.11094702
4388;495;"18011";"Alberto Aguilera E-O - Vallehermoso-Galileo";439895.524161599;4475938.36932317
4385;495;"18007";"Alberto Aguilera O-E - Princesa-Serrano Jover";439415.464454646;4475996.67213234
4386;495;"18008";"(AFOROS) Alberto Aguilera O-E - Conde Duque-Acuerdo";440069.37734256;4475904.13050442
4680;495;"35047";"Puente de la Paz E-O - Av.Donostiarra-Av.Brasilia";444137.815184885;4477110.57855599
4687;495;"35057";"Poeta Claudio Rodriguez S-N  - Clara del Rey-Corazón de Maria";443163.758814779;4477106.123215
7077;495;"35058";"Camilo José Cela, 4  S-N - Azcona-Eraso";443521.904850891;4476564.17281913
4685;495;"35054";"(TACTICO) Av.Toreros O-N - Colomer-Francisco Altimiras(Giro)";443809.002206901;4476292.82172075
